Use Case,Domain,Tool Count,Unique Tools,Retry Count,Success
"apps-001-deploy-php-app","apps",7,7,0,true
"apps-002-update-nodejs-version","apps",3,3,0,true
"apps-003-install-wordpress","apps",5,5,0,true
"apps-004-migrate-application","apps",6,6,0,true
"databases-001-provision-mysql","databases",4,4,0,true
"databases-002-create-backup","databases",4,4,0,true
"databases-003-setup-redis-cache","databases",4,4,0,true
"databases-004-manage-users","databases",4,4,0,true
"domains-001-setup-email-forwarding","domains-mail",4,4,0,true
"domains-002-configure-dns","domains-mail",3,3,0,true
"domains-003-setup-mailbox","domains-mail",5,5,0,true
"domains-004-ssl-certificate","domains-mail",5,5,0,true
"containers-001-manage-resources","containers",3,3,0,true
"containers-002-scale-app","containers",4,4,0,true
"containers-003-deploy-docker-stack","containers",5,5,0,true
"containers-004-manage-volumes","containers",4,4,0,true
"access-001-create-sftp-user","access-users",4,4,0,true
"access-002-manage-ssh-access","access-users",4,4,0,true
"automation-001-setup-cronjob","automation",3,3,0,true
"automation-002-manage-scheduled-tasks","automation",5,5,0,true
"backups-001-setup-backup-schedule","backups",3,3,0,true
"backups-002-create-manual-backup","backups",4,4,0,true
"backups-003-restore-from-backup","backups",4,4,0,true
"identity-001-manage-api-tokens","identity",3,3,0,true
"identity-002-ssh-key-management","identity",3,3,0,true
"identity-003-check-account-settings","identity",3,3,0,true
"organization-001-invite-team-member","organization",4,4,0,true
"organization-002-manage-memberships","organization",4,4,0,true
"project-001-create-project","project-foundation",5,5,0,true
"project-002-configure-ssh","project-foundation",4,4,0,true
"project-003-manage-environment","project-foundation",4,4,0,true
