tool_name,agent,severity,type,description,status
mittwald_app_dependency_update,agent-2,critical,missing_definition,"Missing definition file: src/constants/tool/mittwald-cli/app/dependency/update.js",open
mittwald_app_dependency_versions,agent-2,critical,missing_definition,"Missing definition file: src/constants/tool/mittwald-cli/app/dependency/versions.js",open
mittwald_app_dependency_list,agent-2,critical,missing_definition,"Missing definition file: src/constants/tool/mittwald-cli/app/dependency/list.js",open
mittwald_app_download,agent-3,critical,missing_definition,"Missing definition file: src/constants/tool/mittwald-cli/app/download.js",open
mittwald_app_get,agent-3,critical,missing_definition,"Missing definition file: src/constants/tool/mittwald-cli/app/get.js",open
mittwald_app_install,agent-3,critical,missing_definition,"Missing definition file: src/constants/tool/mittwald-cli/app/install.js",open
mittwald_app_install_contao,agent-3,critical,missing_definition,"Missing definition file: src/constants/tool/mittwald-cli/app/install/contao.js",open
mittwald_app_list_upgrade_candidates,agent-3,critical,missing_definition,"Missing definition file: src/constants/tool/mittwald-cli/app/list/upgrade/candidates.js",open
mittwald_app_install_joomla,agent-3,critical,missing_definition,"Missing definition file: src/constants/tool/mittwald-cli/app/install/joomla.js",open
mittwald_app_install_matomo,agent-3,critical,missing_definition,"Missing definition file: src/constants/tool/mittwald-cli/app/install/matomo.js",open
mittwald_app_install_nextcloud,agent-3,critical,missing_definition,"Missing definition file: src/constants/tool/mittwald-cli/app/install/nextcloud.js",open
mittwald_app_install_shopware5,agent-3,critical,missing_definition,"Missing definition file: src/constants/tool/mittwald-cli/app/install/shopware5.js",open
mittwald_app_install_shopware6,agent-3,critical,missing_definition,"Missing definition file: src/constants/tool/mittwald-cli/app/install/shopware6.js",open
mittwald_app_install_typo3,agent-3,critical,missing_definition,"Missing definition file: src/constants/tool/mittwald-cli/app/install/typo3.js",open
mittwald_app_install_wordpress,agent-3,critical,missing_definition,"Missing definition file: src/constants/tool/mittwald-cli/app/install/wordpress.js",open
mittwald_app_list,agent-3,critical,missing_definition,"Missing definition file: src/constants/tool/mittwald-cli/app/list.js",open
